"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ID","End Time","batch_size","epochs","learning_rate","loss","optimizer","seed","test_samples","train_samples","batch/batch_step","batch/train_accuracy","batch/train_auc","batch/train_loss","epoch/epoch","epoch/train_accuracy","epoch/train_auc","epoch/train_loss","epoch/val_accuracy","epoch/val_auc","epoch/val_loss"
"fullsim_transfered1 2M rows","finished","-","mingfong","transfer","2024-01-24T14:21:52.000Z","13802","","co3u843s","2024-01-24T18:11:54.000Z","1024","200","0.00001","binary_crossentropy","adam","1","5242880","2048000","401999","0.888671875","0.9581182789546164","0.2618609070777893","200","0.9031689167022704","0.9664104141726652","0.2354489415884018","0.8621009588241577","0.9355367531226498","0.3367554843425751"
"fullsim_transfered 4M rows","finished","-","mingfong","transfer","2024-01-18T11:53:25.000Z","18761","","8scyomvw","2024-01-18T17:06:06.000Z","1024","200","0.00001","binary_crossentropy","adam","5","5242880","4096000","803999","0.8984375","0.9653166401544196","0.23895056545734408","200","0.8968185782432556","0.9626979742109844","0.24770838022232056","0.8687679171562195","0.9417819806106044","0.3146457374095917"
"fullsim_transfered 2M rows","finished","-","mingfong","transfer","2024-01-18T11:53:03.000Z","13581","","mwbrtifb","2024-01-18T15:39:24.000Z","1024","200","0.00001","binary_crossentropy","adam","5","5242880","2048000","401999","0.884765625","0.9562757731467176","0.2679014205932617","200","0.9036030173301696","0.966762361546399","0.23430831730365753","0.8631389737129211","0.9363022675308346","0.33374303579330444"
"fullsim_transfered 4M rows","finished","-","mingfong","transfer","2024-01-18T11:36:03.000Z","18498","","afpv10i8","2024-01-18T16:44:21.000Z","1024","200","0.00001","binary_crossentropy","adam","4","5242880","4096000","803999","0.904296875","0.9678496088013032","0.2319044917821884","200","0.8963484168052673","0.9624996329426064","0.24837473034858704","0.8682144284248352","0.9412351930484706","0.3168584108352661"
"fullsim_transfered 2M rows","finished","-","mingfong","transfer","2024-01-18T11:35:35.000Z","13823","","8kv2yvi0","2024-01-18T15:25:58.000Z","1024","200","0.00001","binary_crossentropy","adam","4","5242880","2048000","401999","0.884765625","0.9562757731467176","0.2679014205932617","200","0.9036030173301696","0.966762361546399","0.23430831730365753","0.8631389737129211","0.9363022675308346","0.33374303579330444"
"fullsim_transfered 2M rows","finished","-","mingfong","transfer","2024-01-18T11:29:25.000Z","13663","","79ka8j6l","2024-01-18T15:17:08.000Z","1024","200","0.00001","binary_crossentropy","adam","2","5242880","2048000","401999","0.8876953125","0.9598654169670752","0.2559692859649658","200","0.90353125333786","0.9666242186833596","0.23474259674549103","0.8624200820922852","0.9361148267977006","0.33281785249710083"
"fullsim_transfered 4M rows","finished","-","mingfong","transfer","2024-01-18T11:29:19.000Z","18756","","oobw6u19","2024-01-18T16:41:55.000Z","1024","200","0.00001","binary_crossentropy","adam","2","5242880","4096000","803999","0.90234375","0.9683645948966784","0.22992739081382751","200","0.896448016166687","0.9624148283771722","0.24866150319576263","0.8683379888534546","0.9414976532767672","0.3144405782222748"
"fullsim_only","finished","baseline","mingfong","baseline","2024-01-06T11:09:00.000Z","187917","","25ao9xre","2024-01-08T15:20:57.000Z","1024","400","0.00001","binary_crossentropy","adam","5","5242880","16384000","6415999","0.8984375","0.9662357228346696","0.23543429374694824","400","0.8908580541610718","0.9589581177940154","0.25966212153434753","0.8750982284545898","0.9469222090655564","0.29963287711143494"
"fullsim_only","finished","-","mingfong","baseline","2024-01-06T05:51:09.000Z","204707","","wl0uyh35","2024-01-08T14:42:56.000Z","1024","400","0.00001","binary_crossentropy","adam","3","5242880","16384000","6415999","0.9013671875","0.9630925477689958","0.2446724474430084","400","0.892291247844696","0.9598226600237216","0.25694000720977783","0.8759201169013977","0.9474441047365068","0.2979075312614441"
"fullsim_only","finished","-","mingfong","baseline","2024-01-06T05:50:47.000Z","201765","","ao7s8qoe","2024-01-08T13:53:32.000Z","1024","400","0.00001","binary_crossentropy","adam","4","5242880","16384000","6415999","0.90625","0.9661707179975452","0.23491454124450684","400","0.8914972543716431","0.9594062062699116","0.2582465708255768","0.8758123517036438","0.9468662186193628","0.3005799353122711"
"fullsim_only","finished","-","mingfong","baseline","2024-01-05T14:18:49.000Z","250952","","ulw1w4nn","2024-01-08T12:01:21.000Z","1024","400","0.00001","binary_crossentropy","adam","2","5242880","16384000","6415999","0.8974609375","0.964817087859773","0.24127286672592163","400","0.8908702731132507","0.9589617756043596","0.25966522097587585","0.8754026293754578","0.947313098345622","0.29877251386642456"
"fullsim_only1","finished","baseline","mingfong","baseline","2024-01-05T14:18:33.000Z","249026","","ujrwfssb","2024-01-08T11:28:59.000Z","1024","400","0.00001","binary_crossentropy","adam","1","5242880","16384000","6415999","0.8994140625","0.9648973879526918","0.23904801905155185","400","0.8912231922149658","0.9591800409412023","0.25898972153663635","0.8754657506942749","0.9469646578938384","0.2981240153312683"
